"사망원인별(104항목)","성별","연령(5세)별","항목","단위","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"신생물 (C00-D48)","계","30 - 34세","사망자수[명]","명","423","354","318","293","279","261","241","255",
"신생물 (C00-D48)","계","30 - 34세","사망률[십만명당]","십만명당","11.1","9.8","9.4","9.1","8.9","8.3","7.6","7.8",
"신생물 (C00-D48)","계","35 - 39세","사망자수[명]","명","765","730","720","706","661","669","544","502",
"신생물 (C00-D48)","계","35 - 39세","사망률[십만명당]","십만명당","19.7","18.5","18","17.5","16.7","17.7","15.2","14.8",
"신생물 (C00-D48)","계","40 - 44세","사망자수[명]","명","1531","1416","1318","1153","1142","1031","1086","1098",
"신생물 (C00-D48)","계","40 - 44세","사망률[십만명당]","십만명당","34.7","33.3","32.1","29.1","29.6","26.7","27.7","27.6",
"신생물 (C00-D48)","계","45 - 49세","사망자수[명]","명","2662","2629","2408","2368","2343","2288","2076","1933",
"신생물 (C00-D48)","계","45 - 49세","사망률[십만명당]","십만명당","60.9","58.9","53.1","52.3","52.3","52.2","49.1","47.4",
"신생물 (C00-D48)","계","50 - 54세","사망자수[명]","명","4589","4284","3994","3816","3822","3724","3500","3581",
"신생물 (C00-D48)","계","50 - 54세","사망률[십만명당]","십만명당","107.6","102.7","97.3","91.8","89.7","86","79.1","79.7",
"신생물 (C00-D48)","계","55 - 59세","사망자수[명]","명","6668","6817","6658","6429","6495","6015","5592","5147",
"신생물 (C00-D48)","계","55 - 59세","사망률[십만명당]","십만명당","171.7","167.3","157.6","150.5","152.5","143","135.8","127",
"신생물 (C00-D48)","계","60 - 64세","사망자수[명]","명","7324","7754","7799","7850","8377","8377","8681","8627",
"신생물 (C00-D48)","계","60 - 64세","사망률[십만명당]","십만명당","269.7","261.5","245.6","232.5","232.6","220.2","217.1","208.2",
"신생물 (C00-D48)","계","65 - 69세","사망자수[명]","명","8847","8955","9027","8753","8895","9310","9998","10214",
"신생물 (C00-D48)","계","65 - 69세","사망률[십만명당]","십만명당","419.4","409.7","399.1","373.1","364","353.2","346.9","330.8",
"신생물 (C00-D48)","계","70 - 74세","사망자수[명]","명","11966","11409","10685","10324","10707","10931","11061","11429",
"신생물 (C00-D48)","계","70 - 74세","사망률[십만명당]","십만명당","673.3","646.2","605.1","569.1","562.9","546.4","533","532",
"신생물 (C00-D48)","계","75 - 79세","사망자수[명]","명","13555","13595","14182","14517","14152","13995","13290","12779",
"신생물 (C00-D48)","계","75 - 79세","사망률[십만명당]","십만명당","1001.4","965.5","941.4","915.7","882.7","873.2","831.7","796.6",
"신생물 (C00-D48)","계","80세이상","사망자수[명]","명","19362","21229","22697","24035","25477","26709","27872","29074",
"신생물 (C00-D48)","계","80세이상","사망률[십만명당]","십만명당","1475.7","1493.2","1481.6","1461.9","1439.9","1408.9","1377.9","1339.5",
"신생물 (C00-D48)","계","80 - 84세","사망자수[명]","명","10897","11960","12594","12987","13545","13992","14230","14834",
"신생물 (C00-D48)","계","80 - 84세","사망률[십만명당]","십만명당","1372","1383.6","1356.4","1312.3","1282.5","1259.5","1223.3","1188.8",
"신생물 (C00-D48)","계","85 - 89세","사망자수[명]","명","6045","6581","7134","7582","8202","8796","9550","9956",
"신생물 (C00-D48)","계","85 - 89세","사망률[십만명당]","십만명당","1655.8","1669.8","1673.1","1646.6","1641.7","1600.3","1583","1537.6",
"신생물 (C00-D48)","계","90세이상","사망자수[명]","명","2420","2688","2969","3466","3730","3921","4092","4284",
"신생물 (C00-D48)","계","90세이상","사망률[십만명당]","십만명당","1584.1","1647.3","1677.2","1786.8","1747","1667.4","1596.4","1556.6",
"신생물 (C00-D48)","계","15세 미만","사망자수[명]","명","144","161","150","147","116","114","122","120",
"신생물 (C00-D48)","계","15세 미만","사망률[십만명당]","십만명당","2","2.3","2.2","2.2","1.8","1.8","2","2",
"신생물 (C00-D48)","계","15 - 64세","사망자수[명]","명","24406","24376","23579","22970","23494","22712","22017","21459",
"신생물 (C00-D48)","계","15 - 64세","사망률[십만명당]","십만명당","65.5","65.3","63.2","61.7","63.4","61.7","60.2","59.2",
"신생물 (C00-D48)","계","65세 이상","사망자수[명]","명","53730","55188","56591","57629","59231","60945","62221","63496",
"신생물 (C00-D48)","계","65세 이상","사망률[십만명당]","십만명당","820","813.8","800.9","779.9","767.4","749.2","725.4","704.7",
"신생물 (C00-D48)","계","연령미상","사망자수[명]","명","1","4","0","1","3","5","3","0",
"신생물 (C00-D48)","계","연령미상","사망률[십만명당]","십만명당","","","","","","","","",
"신생물 (C00-D48)","남자","계","사망자수[명]","명","48428","49009","49629","49797","51158","51686","51827","52200",
"신생물 (C00-D48)","남자","계","사망률[십만명당]","십만명당","190.2","192","194","194.5","199.8","201.9","202.5","204.4",
"신생물 (C00-D48)","남자","0세","사망자수[명]","명","11","11","6","9","3","4","1","3",
"신생물 (C00-D48)","남자","0세","사망률[십만명당]","십만명당","5.1","5.2","3.2","5.3","1.9","2.8",".8","2.4",
"신생물 (C00-D48)","남자","1 - 4세","사망자수[명]","명","22","24","16","12","22","20","14","15",
"신생물 (C00-D48)","남자","1 - 4세","사망률[십만명당]","십만명당","2.3","2.6","1.8","1.4","2.7","2.6","2","2.4",
"신생물 (C00-D48)","남자","5 - 9세","사망자수[명]","명","29","24","30","25","28","17","15","25",
"신생물 (C00-D48)","남자","5 - 9세","사망률[십만명당]","십만명당","2.4","2","2.5","2.1","2.3","1.4","1.3","2.3",
"신생물 (C00-D48)","남자","10 - 14세","사망자수[명]","명","24","30","32","26","26","32","35","29",
"신생물 (C00-D48)","남자","10 - 14세","사망률[십만명당]","십만명당","1.8","2.4","2.6","2.2","2.2","2.7","2.9","2.4",
"신생물 (C00-D48)","남자","15 - 19세","사망자수[명]","명","55","62","48","51","58","46","36","38",
"신생물 (C00-D48)","남자","15 - 19세","사망률[십만명당]","십만명당","3.2","3.7","3","3.4","4.1","3.5","2.9","3.1",
"신생물 (C00-D48)","남자","20 - 24세","사망자수[명]","명","81","95","79","69","73","60","72","59",
"신생물 (C00-D48)","남자","20 - 24세","사망률[십만명당]","십만명당","4.3","5.1","4.3","3.8","4.1","3.5","4.4","3.7",
"신생물 (C00-D48)","남자","25 - 29세","사망자수[명]","명","104","70","79","70","96","96","76","84",
"신생물 (C00-D48)","남자","25 - 29세","사망률[십만명당]","십만명당","6.4","4.2","4.6","4","5.3","5.2","4.1","4.6",
"신생물 (C00-D48)","남자","30 - 34세","사망자수[명]","명","184","171","143","132","135","121","110","129",
"신생물 (C00-D48)","남자","30 - 34세","사망률[십만명당]","십만명당","9.5","9.3","8.2","7.9","8.3","7.5","6.7","7.6",
"신생물 (C00-D48)","남자","35 - 39세","사망자수[명]","명","347","314","335","314","300","274","246","222",
"신생물 (C00-D48)","남자","35 - 39세","사망률[십만명당]","십만명당","17.6","15.7","16.4","15.3","14.9","14.2","13.4","12.8",
"신생물 (C00-D48)","남자","40 - 44세","사망자수[명]","명","772","706","622","557","536","469","511","510",
"신생물 (C00-D48)","남자","40 - 44세","사망률[십만명당]","십만명당","34.4","32.6","29.9","27.7","27.4","23.9","25.6","25.2",
"신생물 (C00-D48)","남자","45 - 49세","사망자수[명]","명","1499","1480","1317","1258","1240","1128","1041","928",
"신생물 (C00-D48)","남자","45 - 49세","사망률[십만명당]","십만명당","67.7","65.6","57.4","54.7","54.5","50.7","48.5","44.9",
"신생물 (C00-D48)","남자","50 - 54세","사망자수[명]","명","2903","2608","2505","2274","2256","2150","1935","1998",
"신생물 (C00-D48)","남자","50 - 54세","사망률[십만명당]","십만명당","134.4","122.9","120","108.2","105.1","98.4","86.8","88.2",
"신생물 (C00-D48)","남자","55 - 59세","사망자수[명]","명","4446","4485","4454","4220","4246","3823","3488","3229",
"신생물 (C00-D48)","남자","55 - 59세","사망률[십만명당]","십만명당","229.5","220.5","211.1","197.3","198.7","180.7","167.6","157.6",
"신생물 (C00-D48)","남자","60 - 64세","사망자수[명]","명","5088","5363","5423","5410","5740","5721","5826","5812",
"신생물 (C00-D48)","남자","60 - 64세","사망률[십만명당]","십만명당","382.1","368.9","347.4","324.8","322.8","304.5","294.8","283.5",
"신생물 (C00-D48)","남자","65 - 69세","사망자수[명]","명","6234","6336","6413","6207","6276","6562","7021","7145",
"신생물 (C00-D48)","남자","65 - 69세","사망률[십만명당]","십만명당","616.7","604.1","589.8","549.9","532.8","516","504.8","478.1",
"신생물 (C00-D48)","남자","70 - 74세","사망자수[명]","명","8091","7755","7185","7157","7376","7623","7732","7888",
"신생물 (C00-D48)","남자","70 - 74세","사망률[십만명당]","십만명당","1021.6","975.9","894.1","857.3","834.6","815.9","796.8","783.8",
"신생물 (C00-D48)","남자","75 - 79세","사망자수[명]","명","8645","8673","9189","9463","9248","9209","8738","8444",
"신생물 (C00-D48)","남자","75 - 79세","사망률[십만명당]","십만명당","1583.8","1508.7","1474.2","1427.5","1368.4","1350.1","1269.2","1205.8",
"신생물 (C00-D48)","남자","80세이상","사망자수[명]","명","9893","10800","11753","12542","13497","14329","14929","15642",
"신생물 (C00-D48)","남자","80세이상","사망률[십만명당]","십만명당","2482.9","2455.5","2435","2378.8","2338.3","2282.5","2197.8","2110.3",
"신생물 (C00-D48)","남자","80 - 84세","사망자수[명]","명","6069","6713","7203","7580","8018","8322","8526","8840",
"신생물 (C00-D48)","남자","80 - 84세","사망률[십만명당]","십만명당","2266.2","2244.8","2195.3","2127.9","2073.1","2013.2","1940.5","1847.2",
"신생물 (C00-D48)","남자","85 - 89세","사망자수[명]","명","2835","3035","3371","3608","3954","4429","4768","5052",
"신생물 (C00-D48)","남자","85 - 89세","사망률[십만명당]","십만명당","2922","2878.6","2891.2","2785.9","2738.1","2709.6","2587.9","2500.8",
"신생물 (C00-D48)","남자","90세이상","사망자수[명]","명","989","1052","1179","1354","1525","1578","1635","1750",
"신생물 (C00-D48)","남자","90세이상","사망률[십만명당]","십만명당","2941.5","2977","3105.1","3262.6","3312.1","3097.3","2937.1","2885.1",
"신생물 (C00-D48)","남자","15세 미만","사망자수[명]","명","86","89","84","72","79","73","65","72",
"신생물 (C00-D48)","남자","15세 미만","사망률[십만명당]","십만명당","2.3","2.5","2.4","2.1","2.3","2.2","2","2.3",
"신생물 (C00-D48)","남자","15 - 64세","사망자수[명]","명","15479","15354","15005","14355","14680","13888","13341","13009",
"신생물 (C00-D48)","남자","15 - 64세","사망률[십만명당]","십만명당","81.4","80.5","78.8","75.6","77.5","73.8","71.5","70.3",
"신생물 (C00-D48)","남자","65세 이상","사망자수[명]","명","32863","33564","34540","35369","36397","37723","38420","39119",
"신생물 (C00-D48)","남자","65세 이상","사망률[십만명당]","십만명당","1196.3","1174.3","1152.5","1121.5","1098","1072.9","1030.3","992.3",
"신생물 (C00-D48)","남자","연령미상","사망자수[명]","명","0","2","0","1","2","2","1","0",
"신생물 (C00-D48)","남자","연령미상","사망률[십만명당]","십만명당","","","","","","","","",
"신생물 (C00-D48)","여자","계","사망자수[명]","명","29853","30720","30691","30950","31686","32090","32536","32875",
"신생물 (C00-D48)","여자","계","사망률[십만명당]","십만명당","117.1","120.1","119.6","120.4","123.2","124.7","126.4","127.8",
"신생물 (C00-D48)","여자","0세","사망자수[명]","명","1","3","7","6","3","0","3","2",
"신생물 (C00-D48)","여자","0세","사망률[십만명당]","십만명당",".5","1.5","3.9","3.7","2","","2.4","1.6",
"신생물 (C00-D48)","여자","1 - 4세","사망자수[명]","명","24","22","14","19","13","10","8","15",
"신생물 (C00-D48)","여자","1 - 4세","사망률[십만명당]","십만명당","2.7","2.5","1.6","2.3","1.7","1.4","1.2","2.5",
"신생물 (C00-D48)","여자","5 - 9세","사망자수[명]","명","18","27","26","26","13","14","23","18",
"신생물 (C00-D48)","여자","5 - 9세","사망률[십만명당]","십만명당","1.6","2.4","2.3","2.3","1.2","1.2","2.1","1.7",
"신생물 (C00-D48)","여자","10 - 14세","사망자수[명]","명","15","20","19","24","8","17","23","13",
"신생물 (C00-D48)","여자","10 - 14세","사망률[십만명당]","십만명당","1.2","1.7","1.7","2.1",".7","1.5","2","1.1",
"신생물 (C00-D48)","여자","15 - 19세","사망자수[명]","명","49","42","34","28","23","18","17","20",
"신생물 (C00-D48)","여자","15 - 19세","사망률[십만명당]","십만명당","3.1","2.8","2.3","2","1.8","1.5","1.5","1.8",
"신생물 (C00-D48)","여자","20 - 24세","사망자수[명]","명","67","47","45","63","43","38","36","41",
"신생물 (C00-D48)","여자","20 - 24세","사망률[십만명당]","십만명당","4.1","2.8","2.7","3.9","2.7","2.4","2.4","2.8",
"신생물 (C00-D48)","여자","25 - 29세","사망자수[명]","명","88","76","79","74","82","89","60","74",
"신생물 (C00-D48)","여자","25 - 29세","사망률[십만명당]","십만명당","5.9","5","5.1","4.7","5.1","5.4","3.6","4.5",
"신생물 (C00-D48)","여자","30 - 34세","사망자수[명]","명","239","183","175","161","144","140","131","126",
"신생물 (C00-D48)","여자","30 - 34세","사망률[십만명당]","십만명당","12.9","10.4","10.6","10.3","9.5","9.3","8.6","8.1",
"신생물 (C00-D48)","여자","35 - 39세","사망자수[명]","명","418","416","385","392","361","395","298","280",
"신생물 (C00-D48)","여자","35 - 39세","사망률[십만명당]","십만명당","21.9","21.5","19.6","19.8","18.6","21.3","17","17",
"신생물 (C00-D48)","여자","40 - 44세","사망자수[명]","명","759","710","696","596","606","562","575","588",
"신생물 (C00-D48)","여자","40 - 44세","사망률[십만명당]","십만명당","35","33.9","34.4","30.6","31.9","29.6","29.8","30.1",
"신생물 (C00-D48)","여자","45 - 49세","사망자수[명]","명","1163","1149","1091","1110","1103","1160","1035","1005",
"신생물 (C00-D48)","여자","45 - 49세","사망률[십만명당]","십만명당","53.9","52.1","48.7","49.7","50","53.8","49.7","49.9",
"신생물 (C00-D48)","여자","50 - 54세","사망자수[명]","명","1686","1676","1489","1542","1566","1574","1565","1583",
"신생물 (C00-D48)","여자","50 - 54세","사망률[십만명당]","십만명당","80","81.7","73.8","75.1","74.2","73.3","71.3","71",
"신생물 (C00-D48)","여자","55 - 59세","사망자수[명]","명","2222","2332","2204","2209","2249","2192","2104","1918",
"신생물 (C00-D48)","여자","55 - 59세","사망률[십만명당]","십만명당","114.2","114.2","104.3","103.5","105.9","104.8","103.3","95.7",
"신생물 (C00-D48)","여자","60 - 64세","사망자수[명]","명","2236","2391","2376","2440","2637","2656","2855","2815",
"신생물 (C00-D48)","여자","60 - 64세","사망률[십만명당]","십만명당","161.6","158.2","147.1","142.6","144.6","137.9","141.2","134.5",
"신생물 (C00-D48)","여자","65 - 69세","사망자수[명]","명","2613","2619","2614","2546","2619","2748","2977","3069",
"신생물 (C00-D48)","여자","65 - 69세","사망률[십만명당]","십만명당","237.9","230.4","222.5","209.2","206.9","201.5","199.7","192.6",
"신생물 (C00-D48)","여자","70 - 74세","사망자수[명]","명","3875","3654","3500","3167","3331","3308","3329","3541",
"신생물 (C00-D48)","여자","70 - 74세","사망률[십만명당]","십만명당","393.3","376.4","363.8","323.4","327.1","310.2","301.3","310.1",
"신생물 (C00-D48)","여자","75 - 79세","사망자수[명]","명","4910","4922","4993","5054","4904","4786","4552","4335",
"신생물 (C00-D48)","여자","75 - 79세","사망률[십만명당]","십만명당","607.8","590.7","565.4","547.9","528.8","519.9","500.5","479.5",
"신생물 (C00-D48)","여자","80세이상","사망자수[명]","명","9469","10429","10944","11493","11980","12380","12943","13432",
"신생물 (C00-D48)","여자","80세이상","사망률[십만명당]","십만명당","1036.4","1062.2","1043.1","1029.1","1005","976.4","963.3","939.8",
"신생물 (C00-D48)","여자","80 - 84세","사망자수[명]","명","4828","5247","5391","5407","5527","5670","5704","5994",
"신생물 (C00-D48)","여자","80 - 84세","사망률[십만명당]","십만명당","917.1","928.1","897.9","853.6","825.7","812.9","788","779.2",
"신생물 (C00-D48)","여자","85 - 89세","사망자수[명]","명","3210","3546","3763","3974","4248","4367","4782","4904",
"신생물 (C00-D48)","여자","85 - 89세","사망률[십만명당]","십만명당","1197.5","1228.3","1214.7","1200.7","1195.9","1130.8","1141.2","1100.8",
"신생물 (C00-D48)","여자","90세이상","사망자수[명]","명","1431","1636","1790","2112","2205","2343","2457","2534",
"신생물 (C00-D48)","여자","90세이상","사망률[십만명당]","십만명당","1201.1","1279.8","1287.3","1385.1","1316.6","1272","1224.5","1181.1",
"신생물 (C00-D48)","여자","15세 미만","사망자수[명]","명","58","72","66","75","37","41","57","48",
"신생물 (C00-D48)","여자","15세 미만","사망률[십만명당]","십만명당","1.7","2.1","2","2.3","1.2","1.3","1.9","1.6",
"신생물 (C00-D48)","여자","15 - 64세","사망자수[명]","명","8927","9022","8574","8615","8814","8824","8676","8450",
"신생물 (C00-D48)","여자","15 - 64세","사망률[십만명당]","십만명당","49","49.3","46.9","47.3","48.6","49","48.5","47.7",
"신생물 (C00-D48)","여자","65세 이상","사망자수[명]","명","20867","21624","22051","22260","22834","23222","23801","24377",
"신생물 (C00-D48)","여자","65세 이상","사망률[십만명당]","십만명당","548.4","551.2","541.9","525.5","518.5","502.8","490.9","481",
"신생물 (C00-D48)","여자","연령미상","사망자수[명]","명","1","2","0","0","1","3","2","0",
"신생물 (C00-D48)","여자","연령미상","사망률[십만명당]","십만명당","","","","","","","","",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","계","사망자수[명]","명","724","703","777","873","833","880","848","882",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","계","사망률[십만명당]","명","1.4","1.4","1.5","1.7","1.6","1.7","1.7","1.7",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","0세","사망자수[명]","명","9","3","7","4","4","6","5","1",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","0세","사망률[십만명당]","명","2.1",".7","1.9","1.2","1.3","2.1","1.9",".4",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","1 - 4세","사망자수[명]","명","6","1","8","4","3","6","1","4",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","1 - 4세","사망률[십만명당]","명",".3",".1",".5",".2",".2",".4",".1",".3",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","5 - 9세","사망자수[명]","명","7","6","1","4","6","7","1","3",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","5 - 9세","사망률[십만명당]","명",".3",".3","0",".2",".3",".3","0",".1",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","10 - 14세","사망자수[명]","명","2","3","6","4","6","4","2","6",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","10 - 14세","사망률[십만명당]","명",".1",".1",".3",".2",".3",".2",".1",".3",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","15 - 19세","사망자수[명]","명","5","9","8","7","7","6","3","7",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","15 - 19세","사망률[십만명당]","명",".2",".3",".3",".2",".3",".2",".1",".3",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","20 - 24세","사망자수[명]","명","6","3","5","6","7","7","3","2",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","20 - 24세","사망률[십만명당]","명",".2",".1",".1",".2",".2",".2",".1",".1",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","25 - 29세","사망자수[명]","명","7","7","4","6","5","5","6","2",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","25 - 29세","사망률[십만명당]","명",".2",".2",".1",".2",".1",".1",".2",".1",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","30 - 34세","사망자수[명]","명","8","6","5","12","5","7","4","3",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","30 - 34세","사망률[십만명당]","명",".2",".2",".1",".4",".2",".2",".1",".1",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","35 - 39세","사망자수[명]","명","14","7","7","7","4","10","4","13",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","35 - 39세","사망률[십만명당]","명",".4",".2",".2",".2",".1",".3",".1",".4",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","40 - 44세","사망자수[명]","명","15","17","11","10","4","16","14","8",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","40 - 44세","사망률[십만명당]","명",".3",".4",".3",".3",".1",".4",".4",".2",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","45 - 49세","사망자수[명]","명","16","12","19","15","17","15","18","18",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","45 - 49세","사망률[십만명당]","명",".4",".3",".4",".3",".4",".3",".4",".4",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","50 - 54세","사망자수[명]","명","13","13","21","22","28","27","24","27",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","50 - 54세","사망률[십만명당]","명",".3",".3",".5",".5",".7",".6",".5",".6",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","55 - 59세","사망자수[명]","명","32","34","39","30","34","24","27","40",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","55 - 59세","사망률[십만명당]","명",".8",".8",".9",".7",".8",".6",".7","1",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","60 - 64세","사망자수[명]","명","38","42","47","46","47","50","49","48",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","60 - 64세","사망률[십만명당]","명","1.4","1.4","1.5","1.4","1.3","1.3","1.2","1.2",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","65 - 69세","사망자수[명]","명","56","33","44","50","45","58","62","58",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","65 - 69세","사망률[십만명당]","명","2.7","1.5","1.9","2.1","1.8","2.2","2.2","1.9",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","70 - 74세","사망자수[명]","명","70","63","60","69","60","61","67","87",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","70 - 74세","사망률[십만명당]","명","3.9","3.6","3.4","3.8","3.2","3","3.2","4",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","75 - 79세","사망자수[명]","명","91","101","105","130","123","129","88","113",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","75 - 79세","사망률[십만명당]","명","6.7","7.2","7","8.2","7.7","8","5.5","7",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","80세이상","사망자수[명]","명","329","342","380","446","428","442","470","442",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","80세이상","사망률[십만명당]","명","25.1","24.1","24.8","27.1","24.2","23.3","23.2","20.4",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","80 - 84세","사망자수[명]","명","121","125","133","168","150","160","151","157",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","80 - 84세","사망률[십만명당]","명","15.2","14.5","14.3","17","14.2","14.4","13","12.6",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","85 - 89세","사망자수[명]","명","114","126","151","153","158","162","166","158",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","85 - 89세","사망률[십만명당]","명","31.2","32","35.4","33.2","31.6","29.5","27.5","24.4",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","90세이상","사망자수[명]","명","94","91","96","125","120","120","153","127",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","90세이상","사망률[십만명당]","명","61.5","55.8","54.2","64.4","56.2","51","59.7","46.1",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","15세 미만","사망자수[명]","명","24","13","22","16","19","23","9","14",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","15세 미만","사망률[십만명당]","명",".3",".2",".3",".2",".3",".4",".1",".2",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","15 - 64세","사망자수[명]","명","154","150","166","161","158","167","152","168",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","15 - 64세","사망률[십만명당]","명",".4",".4",".4",".4",".4",".5",".4",".5",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","65세 이상","사망자수[명]","명","546","539","589","695","656","690","687","700",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","65세 이상","사망률[십만명당]","명","8.3","7.9","8.3","9.4","8.5","8.5","8","7.8",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","연령미상","사망자수[명]","명","0","1","0","1","0","0","0","0",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","연령미상","사망률[십만명당]","명","","","","","","","","",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","남자","계","사망자수[명]","명","322","282","308","376","357","378","362","375",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","남자","계","사망률[십만명당]","명","1.3","1.1","1.2","1.5","1.4","1.5","1.4","1.5",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","남자","0세","사망자수[명]","명","3","1","5","1","2","5","2","0",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","남자","0세","사망률[십만명당]","명","1.4",".5","2.6",".6","1.3","3.5","1.5","",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","남자","1 - 4세","사망자수[명]","명","4","0","3","3","1","2","1","2",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","남자","1 - 4세","사망률[십만명당]","명",".4","",".3",".3",".1",".3",".1",".3",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","남자","5 - 9세","사망자수[명]","명","5","2","0","2","4","3","1","1",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","남자","5 - 9세","사망률[십만명당]","명",".4",".2","",".2",".3",".3",".1",".1",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","남자","10 - 14세","사망자수[명]","명","1","1","2","2","4","2","1","4",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","남자","10 - 14세","사망률[십만명당]","명",".1",".1",".2",".2",".3",".2",".1",".3",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","남자","15 - 19세","사망자수[명]","명","2","5","4","3","3","4","2","4",
